sale_id,sale_id.1,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points,reward_points.1,sale_date,payment_method,rating
1,1,Los Angeles,Los Angeles,Member,Female,Food & Beverages,Food & Beverages,84.63,10.0,42.32,888.62,0.0,0.0,1/1/2024,Credit card,9.0
2,2,New York,New York,Normal,Female,Electronics,Electronics,63.22,2.0,6.32,132.76,0.0,0.0,1/1/2024,Cash,8.5
3,3,Los Angeles,Los Angeles,Normal,Female,Electronics,Electronics,74.71,6.0,22.41,470.67,0.0,0.0,1/1/2024,Cash,6.7
4,4,New York,New York,Member,Female,Sports & Travel,Sports & Travel,36.98,10.0,18.49,388.29,0.0,0.0,1/1/2024,Credit card,7.0
5,5,Chicago,Chicago,Member,Female,Sports & Travel,Sports & Travel,27.04,4.0,5.41,113.57,0.0,0.0,1/1/2024,Ewallet,6.9
6,6,Chicago,Chicago,Normal,Female,Fashion & Accs,Fashion & Accs,65.74,9.0,29.58,621.24,0.0,0.0,1/1/2024,Cash,7.7
7,7,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,47.59,8.0,19.04,399.76,0.0,0.0,1/1/2024,Cash,5.7
8,8,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,72.61,6.0,21.78,457.44,0.0,0.0,1/1/2024,Credit card,6.9
9,9,New York,New York,Normal,Male,Health & Beauty,Health & Beauty,62.87,2.0,6.29,132.03,0.0,0.0,1/1/2024,Cash,5.0
10,10,Los Angeles,Los Angeles,Normal,Male,Food & Beverages,Food & Beverages,21.12,8.0,8.45,177.41,0.0,0.0,1/1/2024,Cash,6.3
11,11,New York,New York,Member,Female,Sports & Travel,Sports & Travel,29.22,6.0,8.77,184.09,0.0,0.0,1/1/2024,Ewallet,5.0
12,12,Chicago,Chicago,Member,Female,Electronics,Electronics,74.22,10.0,37.11,779.31,0.0,0.0,1/1/2024,Credit card,4.3
13,13,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,42.47,1.0,2.12,44.59,0.0,0.0,1/2/2024,Cash,5.7
14,14,Los Angeles,Los Angeles,Member,Male,Fashion & Accs,Fashion & Accs,40.61,9.0,18.27,383.76,0.0,0.0,1/2/2024,Cash,7.0
15,15,Los Angeles,Los Angeles,Normal,Male,Sports & Travel,Sports & Travel,44.63,6.0,13.39,281.17,0.0,0.0,1/2/2024,Credit card,5.1
16,16,Chicago,Chicago,Member,Male,Food & Beverages,Food & Beverages,41.66,6.0,12.5,262.46,0.0,0.0,1/2/2024,Ewallet,5.6
17,17,New York,New York,Member,Female,Sports & Travel,Sports & Travel,31.67,8.0,12.67,266.03,0.0,0.0,1/2/2024,Credit card,5.6
18,18,Los Angeles,Los Angeles,Normal,Female,Health & Beauty,Health & Beauty,34.21,10.0,17.1,359.2,0.0,0.0,1/2/2024,Cash,5.1
19,19,Los Angeles,Los Angeles,Normal,Male,Electronics,Electronics,22.01,6.0,6.6,138.66,0.0,0.0,1/2/2024,Cash,7.6
20,20,New York,New York,Normal,Male,Fashion & Accs,Fashion & Accs,99.82,2.0,9.98,209.62,0.0,0.0,1/2/2024,Credit card,6.7
21,21,Los Angeles,Los Angeles,Normal,Female,Home & Lifestyle,Home & Lifestyle,63.15,6.0,18.94,397.84,0.0,0.0,1/3/2024,Ewallet,9.8
22,22,New York,New York,Member,Male,Health & Beauty,Health & Beauty,75.88,1.0,3.79,79.67,0.0,0.0,1/3/2024,Credit card,7.1
23,23,Los Angeles,Los Angeles,Normal,Male,Sports & Travel,Sports & Travel,93.38,1.0,4.67,98.05,0.0,0.0,1/3/2024,Cash,9.6
24,24,Chicago,Chicago,Normal,Male,Health & Beauty,Health & Beauty,70.01,5.0,17.5,367.55,0.0,0.0,1/3/2024,Ewallet,5.5
25,25,Chicago,Chicago,Normal,Female,Health & Beauty,Health & Beauty,23.03,9.0,10.36,217.63,0.0,0.0,1/3/2024,Ewallet,7.9
26,26,New York,New York,Member,Female,Health & Beauty,Health & Beauty,21.12,2.0,2.11,44.35,0.0,0.0,1/3/2024,Cash,9.7
27,27,Chicago,Chicago,Normal,Female,Home & Lifestyle,Home & Lifestyle,67.09,5.0,16.77,352.22,0.0,0.0,1/3/2024,Credit card,9.1
28,28,Los Angeles,Los Angeles,Member,Male,Health & Beauty,Health & Beauty,62.0,8.0,24.8,520.8,0.0,0.0,1/3/2024,Credit card,6.2
29,29,Los Angeles,Los Angeles,Normal,Male,Sports & Travel,Sports & Travel,46.42,3.0,6.96,146.22,0.0,0.0,1/4/2024,Credit card,4.4
30,30,Chicago,Chicago,Member,Male,Health & Beauty,Health & Beauty,20.97,5.0,5.24,110.09,0.0,0.0,1/4/2024,Cash,7.8
31,31,New York,New York,Member,Female,Electronics,Electronics,66.65,9.0,29.99,629.84,0.0,0.0,1/4/2024,Credit card,9.7
32,32,Chicago,Chicago,Member,Female,Home & Lifestyle,Home & Lifestyle,35.54,10.0,17.77,373.17,0.0,0.0,1/4/2024,Ewallet,7.0
33,33,Los Angeles,Los Angeles,Member,Female,Fashion & Accs,Fashion & Accs,68.71,4.0,13.74,288.58,0.0,0.0,1/4/2024,Cash,4.1
34,34,Los Angeles,Los Angeles,Member,Male,Electronics,Electronics,72.17,1.0,3.61,75.78,0.0,0.0,1/4/2024,Cash,6.1
35,35,New York,New York,Member,Female,Fashion & Accs,Fashion & Accs,31.9,1.0,1.6,33.5,0.0,0.0,1/5/2024,Ewallet,9.1
36,36,New York,New York,Normal,Male,Fashion & Accs,Fashion & Accs,27.38,6.0,8.21,172.49,0.0,0.0,1/5/2024,Credit card,7.9
37,37,Los Angeles,Los Angeles,Member,Female,Home & Lifestyle,Home & Lifestyle,35.38,9.0,15.92,334.34,0.0,0.0,1/5/2024,Credit card,9.6
38,38,New York,New York,Normal,Female,Fashion & Accs,Fashion & Accs,76.06,3.0,11.41,239.59,0.0,0.0,1/5/2024,Credit card,9.8
39,39,Chicago,Chicago,Member,Female,Health & Beauty,Health & Beauty,74.69,7.0,26.14,548.97,0.0,0.0,1/5/2024,Ewallet,9.1
40,40,Los Angeles,Los Angeles,Normal,Female,Food & Beverages,Food & Beverages,71.2,1.0,3.56,74.76,0.0,0.0,1/5/2024,Credit card,9.2
41,41,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,70.74,4.0,14.15,297.11,0.0,0.0,1/5/2024,Credit card,4.4
