sale_id,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points,sale_date
1,New York,New York,Member,Male,Shampoo,Personal Care,5.5,3,1.16,17.66,1,2025-01-01
2,Los Angeles,Los Angeles,Normal,Female,Notebook,Stationery,2.75,10,1.93,29.43,0,2025-01-02
3,New York,New York,Member,Female,Apple,Fruits,1.2,15,1.26,19.26,1,2025-01-03
4,Chicago,Chicago,Normal,Male,Detergent,Household,7.8,5,2.73,41.73,0,2025-01-04
5,Los Angeles,Los Angeles,Member,Female,Orange Juice,Beverages,3.5,7,1.72,26.22,2,2025-01-05
6,Chicago,Chicago,Normal,Male,Shampoo,Stationery,11.24,9,7.08,108.24,0,2025-01-06
7,Chicago,Chicago,Normal,Male,Shampoo,Personal Care,10.71,1,0.75,11.46,0,2025-01-07
8,Los Angeles,Los Angeles,Normal,Female,Shampoo,Household,18.23,9,11.48,175.55,0,2025-01-08
9,Chicago,Chicago,Member,Female,Apple,Fruits,14.15,20,19.81,302.81,30,2025-01-09
10,Los Angeles,Los Angeles,Member,Male,Shampoo,Fruits,18.42,19,24.5,374.48,37,2025-01-10
11,Chicago,Chicago,Normal,Male,Detergent,Beverages,9.32,7,4.57,69.81,0,2025-01-11
12,Los Angeles,Los Angeles,Member,Male,Orange Juice,Household,6.89,12,5.79,88.47,8,2025-01-12
13,New York,New York,Normal,Female,Orange Juice,Household,3.29,4,0.92,14.08,0,2025-01-13
14,Los Angeles,Los Angeles,Member,Female,Apple,Fruits,8.81,5,3.08,47.13,4,2025-01-14
15,Los Angeles,Los Angeles,Normal,Female,Apple,Beverages,19.48,3,4.09,62.53,0,2025-01-15
16,Los Angeles,Los Angeles,Normal,Male,Notebook,Stationery,5.55,8,3.11,47.51,0,2025-01-16
17,Los Angeles,Los Angeles,Member,Female,Apple,Personal Care,2.13,2,0.3,4.56,0,2025-01-17
18,Los Angeles,Los Angeles,Normal,Male,Notebook,Fruits,13.26,15,13.92,212.82,0,2025-01-18
